uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e23ceb4c-f722-4246-9c6e-3a1f25cc09ea",1451,"Payload delivery","sha1","4f632db14f1cda11f7d3f907e746155cde399eaf","",1,1540555832,"sha1","","","",""
"727b8ff2-04ec-4afa-bc59-8113dbbd8ef7",1451,"Payload delivery","sha256","9038ba1b7991ff38b802f28c0e006d12d466a8e374d2f2a83a039aabcbe76f5c","",1,1540555833,"sha256","","","",""
"253f6040-7ba2-40f1-9026-2ff49db3ab24",1451,"Other","datetime","2018-10-13T20:15:57.000000+0000","",0,1540555833,"last-submission","","","",""
"3f3c9059-f685-4d08-afc1-4c73cee08a38",1451,"External analysis","link","https://www.virustotal.com/file/9038ba1b7991ff38b802f28c0e006d12d466a8e374d2f2a83a039aabcbe76f5c/analysis/1539461757/","",0,1540555834,"permalink","","","",""
"b583f736-79f9-4a5e-bc47-e02fc26f14f1",1451,"Other","text","41/59","",0,1540555834,"detection-ratio","","","",""
"5372cac7-746f-442a-8cf9-4a18ac088a8e",1451,"Payload delivery","md5","f00fd318bf58586c29ab970132d1fd2a","",1,1540555835,"md5","","","",""
"e19f4ff2-a453-4fa2-8537-da89116cde28",1451,"Payload delivery","sha1","6f5f226c071f97ac46c0b4f4d390fcce3f40b860","",1,1540555835,"sha1","","","",""
"55c8ffed-63f3-4abb-8bda-23dce96cbb2b",1451,"Payload delivery","sha256","bbcafdb4fd7bf107d8b85934286d531536b7a0a30e5eeed07e27f0f7afcf8a77","",1,1540555840,"sha256","","","",""
"8876e6b2-2e78-4e96-9472-5a5c7f16b1a7",1451,"Other","datetime","2018-10-22T12:06:39.000000+0000","",0,1540555841,"last-submission","","","",""
"fe921098-fd26-4c29-a9f8-be97758741a0",1451,"External analysis","link","https://www.virustotal.com/file/bbcafdb4fd7bf107d8b85934286d531536b7a0a30e5eeed07e27f0f7afcf8a77/analysis/1540209999/","",0,1540555842,"permalink","","","",""
"a44f783a-6846-4063-9ad1-51786f917a1b",1451,"Other","text","40/59","",0,1540555842,"detection-ratio","","","",""
"cb0d3d4c-00d1-4e69-8f57-341cd1a664f9",1451,"Payload delivery","md5","d632c8444aab1b43a663401e80c0bac4","",1,1540555843,"md5","","","",""
"4763234d-9d50-422d-8cd2-df40bda74a80",1451,"Payload delivery","sha1","2b3981a8889d51bb14a3a974d1578b0161b8784b","",1,1540555843,"sha1","","","",""
"c7763d1c-9777-4112-91ba-2927c0778e28",1451,"Payload delivery","sha256","3da24cd3af9a383b731ce178b03c68a813ab30f4c7c8dfbc823a32816b9406fb","",1,1540555844,"sha256","","","",""
"4263a1ce-39bd-45de-82f4-e2a9061c5333",1451,"Other","datetime","2018-10-11T15:14:26.000000+0000","",0,1540555849,"last-submission","","","",""
"8cbe935b-39b3-41ae-b212-6531a480d97f",1451,"External analysis","link","https://www.virustotal.com/file/3da24cd3af9a383b731ce178b03c68a813ab30f4c7c8dfbc823a32816b9406fb/analysis/1539270866/","",0,1540555850,"permalink","","","",""
"b5212545-5018-404c-b8b4-c9fff615e8dd",1451,"Other","text","41/59","",0,1540555856,"detection-ratio","","","",""
"c2d8f4a7-99ad-4527-abcb-2195010ca54a",1451,"Payload delivery","md5","2b8ab9112e34bb910055d85ec800db3f","",1,1540555856,"md5","","","",""
"be7737d5-e462-4606-ba75-717e6849d16d",1451,"Payload delivery","sha1","36216f2ef471a3189f175630cebb06f04e30bf4b","",1,1540555861,"sha1","","","",""
"aa764acc-b4ec-4e60-93c9-f0d9b072f38b",1451,"Payload delivery","sha256","276a765a10f98cda1a38d3a31e7483585ca3722ecad19d784441293acf1b7beb","",1,1540555863,"sha256","","","",""
"7c8477a8-c454-4aaf-a0dc-091459cbea54",1451,"Other","datetime","2018-10-21T00:16:09.000000+0000","",0,1540555869,"last-submission","","","",""
"81f1d13e-321a-422c-9c22-bd12f7659d04",1451,"External analysis","link","https://www.virustotal.com/file/276a765a10f98cda1a38d3a31e7483585ca3722ecad19d784441293acf1b7beb/analysis/1540080969/","",0,1540555870,"permalink","","","",""
"8d8c772f-2b41-47d9-bff0-31c360bc614f",1451,"Other","text","36/67","",0,1540555870,"detection-ratio","","","",""
"ffd391b2-c4b1-4e62-9114-8728ed08f32c",1451,"Payload delivery","md5","37f7e6e5f073508e1ee552ebea5d200e","",1,1540555870,"md5","","","",""
"c016bc96-b506-4064-87c8-ed678ecfffc6",1451,"Payload delivery","sha1","34f4c4ac3500a91c5d9394b247ba1eeb7152535d","",1,1540555871,"sha1","","","",""
"ab72346d-d1c1-4da1-84f7-a7010b707404",1451,"Payload delivery","sha256","d07d4e71927cab4f251bcc216f560674c5fb783add9c9f956d3fc457153be025","",1,1540555871,"sha256","","","",""
"6afed300-f5d6-4060-a0f3-e9dd72358090",1451,"Other","datetime","2018-10-26T00:37:14.000000+0000","",0,1540555872,"last-submission","","","",""
"b6bd2374-449e-48bc-86c6-8f9f85fb3e7e",1451,"External analysis","link","https://www.virustotal.com/file/d07d4e71927cab4f251bcc216f560674c5fb783add9c9f956d3fc457153be025/analysis/1540514234/","",0,1540555872,"permalink","","","",""
"992192ee-c474-4e35-96c3-bcb874336924",1451,"Other","text","36/57","",0,1540555873,"detection-ratio","","","",""
"e496cd9e-92fd-4506-99bb-8fa1f6425fcd",1451,"Payload delivery","md5","5de97ae178888f2dd222bb8a66060ac2","",1,1540555873,"md5","","","",""
"ce6151e9-e005-4a63-8107-95902d806d4a",1451,"Payload delivery","sha1","32f723050afe20a3b5b6c3a1d60db385045a3dbf","",1,1540555874,"sha1","","","",""
"49a60eb3-4609-4151-ae2c-4877100c961a",1451,"Payload delivery","sha256","eff78c23790ee834f773569b52cddb01dc3c4dd9660f5a476af044ef6fe73894","",1,1540555874,"sha256","","","",""
"3ad214b5-7e6f-4772-a671-90c2db86a80a",1451,"Other","datetime","2018-10-13T20:48:54.000000+0000","",0,1540555875,"last-submission","","","",""
"fbb0e0ec-50b8-45c9-8dd2-3457ea1c7006",1451,"External analysis","link","https://www.virustotal.com/file/eff78c23790ee834f773569b52cddb01dc3c4dd9660f5a476af044ef6fe73894/analysis/1539463734/","",0,1540555875,"permalink","","","",""
"fbec1590-9808-4e00-a56b-bf587d8f1f43",1451,"Other","text","41/59","",0,1540555881,"detection-ratio","","","",""
"7bf4667d-3eaf-4dd8-842c-b895353e0730",1451,"Payload delivery","md5","be62fc5b1576e0a8491519e10bab931d","",1,1540555893,"md5","","","",""
"f48c12cc-1912-4a0d-aa3e-b72ee4125ce0",1451,"Payload delivery","sha1","b3545913847b7cb53fe01d599c5dd35b7c82ad97","",1,1540555899,"sha1","","","",""
"64fc2415-4951-447f-918f-5338e9ae9255",1451,"Payload delivery","sha256","86b5aab2be0b3f29e3184fd2337792a80706cc593cc17de85eea2401af29738f","",1,1540555900,"sha256","","","",""
